,Argyranthemum frutescens,Ceropegia fusca,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Euphorbia lamarckii,Frankenia laevis,Helianthemum canariensis,Launaea arborescens,Lavendula multifida,Lotus sessilifolius,Lycium intricatum,Periploca laevigata,Plocama pendula,Satureja kuegleri,Schizogyne sericea,Fagonia albiflora
Agromyzidae sp. 1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Amegilla quadrifasciata,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Anaspis proteus,1,0,0,16,3,0,0,1,0,0,0,0,0,0,0,0
Anthophora alluaudi,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Anthophora orotavae,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Apis mellifera,0,0,1,0,5,0,1,0,1,0,0,0,1,0,1,0
Aprostocetus occidentalis,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Attagenus wollastoni,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Bracon sp.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus feae,0,2,60,48,26,14,1,2,1,2,4,71,4,0,5,0
Chalicodoma canescens,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Chrysomya albiceps,0,0,2,0,0,0,0,0,0,0,0,36,0,0,0,0
Dinarmoides spilopterus,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Eristalinus taeniops,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
Eupelmus sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eurytoma sp. 1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Lasioglossum viride,0,0,0,1,0,0,0,4,1,0,0,1,0,1,1,0
Lucilia sericata,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0
Macrocoma splendens,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Megachile canariensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Musca domestica,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0
Myopites nigrescens,3,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0
Oscinella sp. 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physiphora alceae,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Phyto discrepans,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Plagiolepis sp. 2,3,0,0,2,3,2,3,7,0,0,0,1,0,0,2,0
Platypalpus sp.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pteromalus sp. 3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sarcophagidae sp. 5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Sarcophagidae sp. 8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
Scenopinus sp.,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sphaeniscus filiolus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stomorhina lunata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Synthesomyia nudiseta,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
Themnothorax hesperius,1,0,0,10,0,14,1,4,1,1,1,0,1,1,4,0
Thysanoptera sp. 1,40,0,1,14,1,0,3,0,0,0,0,0,0,4,1,0
Thysanoptera sp. 2,45,0,0,0,0,0,8,5,0,0,0,0,0,0,8,3
Urelliosoma guimari,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Ammophila terminata,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aprostocetus sp. 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Attalus ruficollis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blaesoxipha sp. 1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chetogena acuminata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chloropidae sp. 5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chloropidae sp. 6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eristalinus aeneus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eristalis tenax,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Euderus sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Fannia sp.,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Gnaphosidae sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Holepyris sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasioglossum loetum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptochilus eatoni,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Meligethes cf. canariensis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Monomorium subopacum,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Mordellistena cf. canariensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nomioides fortunatus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Oscinella sp. 2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Oxyopes cf. kraepelinorum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plagiolepis schmitzii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Platypalpus sp. 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pteromalus sp. 4 ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sciaridae sp. 1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
Sibinia sericea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Syritta pipiens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera sp. 3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torymoides lindbergi,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Trixoscelis sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
