,Argyranthemum frutescens,Ceballosia fruticosa,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Euphorbia lamarckii,Fagonia albiflora,Launaea arborescens,Lycium intricatum,Nauplius aquaticus,Neochamaelea pulverulenta,Periploca laevigata,Rubia fruticosa,Schizogyne sericea,Asphaltklee bituminosa,Ceropegia dichotoma,Frankenia laevis,Kickxia scoparia,Lavendula buchii,Parolinia intermedia
Amegilla canifrons,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anaspis proteus,0,4,0,40,0,22,0,1,0,0,4,1,3,0,0,0,0,0,19
Anthophora alluaudi,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,2,7
Apis mellifera,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Attalus pallipes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aulacoderus canariensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bracon sp.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus feae,15,19,53,71,31,3,0,2,19,10,85,18,7,0,1,8,0,7,3
Chloropidae sp.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocephalus gounellei,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasytes subaenescens,8,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
Elasmus platyedrae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eristalinus aeneus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estheria simonyi,0,1,1,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,9
Eumerus latitarsis,0,0,2,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Geometridae sp.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lasioglossum loetum,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasioglossum viride,15,0,0,2,0,1,0,3,0,0,0,0,2,0,0,0,1,0,16
Leptochilus cruentatus,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10
Leptochilus eatoni,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Malthinus mutabilis,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Meligethes canariensis,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Musca domestica,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Phthiria simonyi,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Plagiolepis sp. 2,0,1,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pteromalus sp. 1 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pteromalus sp. 4 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sciaridae sp.,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Syritta pipiens,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
Tethina marmorata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Themnothorax hesperius,0,0,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thomisus cf. onustus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera sp. 1,12,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera sp. 2,15,0,0,0,0,45,0,0,21,0,0,0,0,0,0,0,0,0,0
Thysanoptera sp. 7,48,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Agromyzidae? sp. 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amegilla quadrifasciata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Anthophora orotavae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Bassus sp.,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratogoponidae sp.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chetogena acuminata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chironomidae sp.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloropidae sp. 5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Coccinella miranda,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crematogaster alluaudi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasytes cf. subaenescens,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Eristalis tenax,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucera gracilipes,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
Euderus sp.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eumerus nivariae,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylaeus ater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Megaselia sp. 2,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Minotetrastichus sp.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myathropa florea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neodryophilus cryptophagoides,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Platypalpus sp.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scenopinus sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera sp. 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Urelliosoma guimari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
